"seqnames","idx","start","end","BG","Log2FC","FDR.x","Significant_Peak_Name","idxATAC","idxRNA","Correlation","FDR.y","VarQATAC","VarQRNA","geneName","pass_corr","pass_link_fdr","pass_peak_fdr","pass_log2fc","is_significant","peak_id"
"chr1",14568,119648047,119648547,0.546337322501549,0.546337322501549,0.0308884526827311,"chr1_119648047_119648547",14568,1141,0.908349668539336,9.51187040750888e-187,0.902930920742626,0.871308905423745,"ZNF697",TRUE,TRUE,TRUE,TRUE,TRUE,"chr1_119648047_119648547"
"chr19",11905,56477862,56478362,1.12536877777968,1.12536877777968,0.0222494241257933,"chr19_56477862_56478362",251615,10999,0.904593614120787,1.09118761982679e-182,0.966797880283885,0.646965230006084,"ZNF667-AS1",TRUE,TRUE,TRUE,TRUE,TRUE,"chr19_56477862_56478362"
"chr5",4100,72467946,72468446,1.13070238652802,1.13070238652802,0.0448410725525339,"chr5_72467946_72468446",81162,16207,0.768447577200091,5.68389352495415e-96,0.643733281137861,0.30460012167158,"ZNF366",TRUE,TRUE,TRUE,TRUE,TRUE,"chr5_72467946_72468446"
"chr17",4387,32503361,32503861,1.13874086164715,1.13874086164715,0.000605071023010309,"chr17_32503361_32503861",225009,8521,-0.763221951988506,6.65356552251044e-94,0.977867669979629,0.886798633534559,"ZNF207",TRUE,TRUE,TRUE,TRUE,TRUE,"chr17_32503361_32503861"
"chr19",11906,56507476,56507976,0.558672691147186,0.558672691147186,0.011686146847127,"chr19_56507476_56507976",251616,10999,0.753579508852915,3.1483787274821e-90,0.987150489695019,0.646965230006084,"ZNF667-AS1",TRUE,TRUE,TRUE,TRUE,TRUE,"chr19_56507476_56507976"
"chr10",13223,133305104,133305604,-0.685519508530641,-0.685519508530641,0.0029613077209805,"chr10_133305104_133305604",158169,2984,0.746448561631937,1.28277180080152e-87,0.740026677685711,0.716364827553933,"ZNF511",TRUE,TRUE,TRUE,TRUE,TRUE,"chr10_133305104_133305604"
"chr5",4103,72476253,72476753,1.59766120065188,1.59766120065188,0.01636918127459,"chr5_72476253_72476753",81165,16207,0.715748671863425,2.6044969708152e-77,0.258907664760082,0.30460012167158,"ZNF366",TRUE,TRUE,TRUE,TRUE,TRUE,"chr5_72476253_72476753"
"chr2",15997,184598217,184598717,1.11748613369168,1.11748613369168,0.00330222586955014,"chr2_184598217_184598717",42991,12056,0.697624373267569,7.59847725172099e-72,0.926150656430555,0.958070101548973,"ZNF804A",TRUE,TRUE,TRUE,TRUE,TRUE,"chr2_184598217_184598717"
"chr8",3273,37886404,37886904,0.898136923324341,0.898136923324341,0.0113580976134794,"chr8_37886404_37886904",124998,19202,0.652905661989963,5.60218444652931e-60,0.695972249407364,0.359726706911882,"ZNF703",TRUE,TRUE,TRUE,TRUE,TRUE,"chr8_37886404_37886904"
"chr2",15992,184559187,184559687,1.16050482670645,1.16050482670645,0.0136184211396851,"chr2_184559187_184559687",42986,12056,0.649822326312238,3.10330551167623e-59,0.671636110567408,0.958070101548973,"ZNF804A",TRUE,TRUE,TRUE,TRUE,TRUE,"chr2_184559187_184559687"
